state,state_census_code,district_name,district_id,district_census_code,region
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1.0,Islands
Andaman & Nicobar Island,35,North & Middle Andaman,North & Middle Andaman_2,2.0,Islands
Andaman & Nicobar Island,35,South Andaman,South Andaman_3,3.0,Islands
Andhra Pradesh,28,Anantapur,Anantapur_12,12.0,South
Andhra Pradesh,28,Chittoor,Chittoor_13,13.0,South
Andhra Pradesh,28,East Godavari,East Godavari_4,4.0,South
Andhra Pradesh,28,Guntur,Guntur_7,7.0,South
Andhra Pradesh,28,Krishna,Krishna_6,6.0,South
Andhra Pradesh,28,Kurnool,Kurnool_11,11.0,South
Andhra Pradesh,28,Prakasam,Prakasam_8,8.0,South
Andhra Pradesh,28,Sri Potti Sriramulu Nellore,Nellore_9,9.0,South
Andhra Pradesh,28,Srikakulam,Srikakulam_1,1.0,South
Andhra Pradesh,28,Visakhapatnam,Visakhapatnam_3,3.0,South
Andhra Pradesh,28,Vizianagaram,Vizianagaram_2,2.0,South
Andhra Pradesh,28,West Godavari,West Godavari_5,5.0,South
Andhra Pradesh,28,Y.S.R.,Cuddapah_10,10.0,South
Arunachal Pradesh,12,Anjaw,Anjaw_16,16.0,Northeast
Arunachal Pradesh,12,Changlang,Changlang_9,9.0,Northeast
Arunachal Pradesh,12,Dibang Valley,Dibang Valley_13,13.0,Northeast
Arunachal Pradesh,12,East Kameng,East Kameng_3,3.0,Northeast
Arunachal Pradesh,12,East Siang,East Siang_7,7.0,Northeast
Arunachal Pradesh,12,Kurung Kumey,Kurung Kumey_12,12.0,Northeast
Arunachal Pradesh,12,Lohit,Lohit_15,15.0,Northeast
Arunachal Pradesh,12,Lower Dibang Valley,Lower Dibang Valley_14,14.0,Northeast
Arunachal Pradesh,12,Lower Subansiri,Lower Subansiri_11,11.0,Northeast
Arunachal Pradesh,12,Papum Pare,Papum Pare_4,4.0,Northeast
Arunachal Pradesh,12,Tawang,Tawang_1,1.0,Northeast
Arunachal Pradesh,12,Tirap,Tirap_10,10.0,Northeast
Arunachal Pradesh,12,Upper Siang,Upper Siang_8,8.0,Northeast
Arunachal Pradesh,12,Upper Subansiri,Upper Subansiri_5,5.0,Northeast
Arunachal Pradesh,12,West Kameng,West Kameng_2,2.0,Northeast
Arunachal Pradesh,12,West Siang,West Siang_6,6.0,Northeast
Assam,18,Baksa,Baksa_25,25.0,Northeast
Assam,18,Barpeta,Barpeta_4,4.0,Northeast
Assam,18,Bongaigaon,Bongaigaon_20,20.0,Northeast
Assam,18,Cachar,Cachar_17,17.0,Northeast
Assam,18,Chirang,Chirang_21,21.0,Northeast
Assam,18,Darrang,Darrang_26,26.0,Northeast
Assam,18,Dhemaji,Dhemaji_9,9.0,Northeast
Assam,18,Dhubri,Dhubri_2,2.0,Northeast
Assam,18,Dibrugarh,Dibrugarh_11,11.0,Northeast
Assam,18,Dima Hasao,Dima Hasao_16,16.0,Northeast
Assam,18,Goalpara,Goalpara_3,3.0,Northeast
Assam,18,Golaghat,Golaghat_14,14.0,Northeast
Assam,18,Hailakandi,Hailakandi_19,19.0,Northeast
Assam,18,Jorhat,Jorhat_13,13.0,Northeast
Assam,18,Kamrup,Kamrup_22,22.0,Northeast
Assam,18,Kamrup Metropolitan,Kamrup Metropolitan_23,23.0,Northeast
Assam,18,Karbi Anglong,Karbi Anglong_15,15.0,Northeast
Assam,18,Karimganj,Karimganj_18,18.0,Northeast
Assam,18,Kokrajhar,Kokrajhar_1,1.0,Northeast
Assam,18,Lakhimpur,Lakhimpur_8,8.0,Northeast
Assam,18,Morigaon,Marigaon_5,5.0,Northeast
Assam,18,Nagaon,Nagaon_6,6.0,Northeast
Assam,18,Nalbari,Nalbari_24,24.0,Northeast
Assam,18,Sivasagar,Sivasagar_12,12.0,Northeast
Assam,18,Sonitpur,Sonitpur_7,7.0,Northeast
Assam,18,Tinsukia,Tinsukia_10,10.0,Northeast
