short_name,long_name,category,unit,higher_is_good
anaemia_women_15_19,All women age 15-19 years who are anaemic (%),Anaemia among Children and Women,percentage,False
anaemia_all_women,All women age 15-49 years who are anaemic (%),Anaemia among Children and Women,percentage,False
anaemia_pregnant_women,Pregnant women age 15-49 years who are anaemic,Anaemia among Children and Women,percentage,False
anaemia_nonpregnant_women,Nonpregnant women age 15-49 years who are anaemic,Anaemia among Children and Women,percentage,False
anaemia_children,Children age 6-59 months who are anaemic,Anaemia among Children and Women,percentage,False
men_blood_sugar_141_160_dup,MaleBlood sugar level  high (141-160 mg/dl) (%),Blood Sugar Level among men,percentage,True
men_very_high_blood_sugar,Male Blood sugar level  very high (>160 mg/dl) (%),Blood Sugar Level among men,percentage,False
men_high_blood_sugar,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),Blood Sugar Level among men,percentage,False
men_blood_sugar_141_160,Male Blood sugar level  high (141-160 mg/dl) (%),Blood Sugar Level among men,percentage,False
women_very_high_blood_sugar,Female Blood sugar level  very high (>160 mg/dl) (%),Blood Sugar Level among women,percentage,False
women_high_blood_sugar,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),Blood Sugar Level among women,percentage,False
women_blood_sugar_141_160,Female Blood sugar level  high (141-160 mg/dl) (%),Blood Sugar Level among women,percentage,False
women_literacy,Women who are literate (%),Characteristics of Women,percentage,True
women_10yr_schooling,Women with 10 or more years of schooling (%),Characteristics of Women,percentage,True
child_overweight,Children under 5 years who are overweight (weight fo rheight)20 (%),Child Feeding Practices and Nutritional Status of Children,percentage,False
non_bf_children_adequate_diet,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
exclusive_breastfeeding,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
early_breastfeeding,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
child_wasting,Children under 5 years who are wasted (weight for height) (%),Child Feeding Practices and Nutritional Status of Children,percentage,False
child_underweight,Children under 5 years who are underweight (weight for age) (%),Child Feeding Practices and Nutritional Status of Children,percentage,False
child_stunting,Children under 5 years who are stunted (height for age) (%),Child Feeding Practices and Nutritional Status of Children,percentage,False
children_adequate_diet,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
child_severe_wasting,Children under 5 years who are severely wasted (weight for height) (%),Child Feeding Practices and Nutritional Status of Children,percentage,False
complementary_feeding,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
bf_children_adequate_diet,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,percentage,True
vaccine_dpt3,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Child Vaccinations and Vitamin A Supplementation,percentage,True
vaccine_hepatitis_b3,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Child Vaccinations and Vitamin A Supplementation,percentage,True
vitamin_a_dose,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Child Vaccinations and Vitamin A Supplementation,percentage,True
